Genus,Location,AVG,SE,Log2
Plesiomonas,Cranberry/H2O,0.020975794,0.005144845,1123.554663
Cetobacterium,Cranberry/H2O,0.01426354,0.006389875,2862.631347
Aeromonas,Cranberry/H2O,0.15270378,0.038060981,95.65567755
Clostridium_sensu_stricto_1,Cranberry/H2O,0.049502874,0.025084103,118.7005642
Plesiomonas,Cranberry/NP,23.56745116,4.868009814,
Cetobacterium,Cranberry/NP,40.83125673,8.1136479,
Aeromonas,Cranberry/NP,14.60698354,5.811221542,
Clostridium_sensu_stricto_1,Cranberry/NP,5.876019074,2.20254026,
