Genus,Location,AVG,SE,Log2
Plesiomonas,French Creek/H2O,0.002517095,0.001299822,2490.074343
Aeromonas,French Creek/H2O,0.108235097,0.055906217,88.0568473
Clostridium_sensu_stricto_1,French Creek/H2O,0.034400302,0.011137337,763.5013562
Plesiomonas,French Creek/NP,6.267753679,1.88171337,
Aeromonas,French Creek/NP,9.530841409,5.690551489,
Clostridium_sensu_stricto_1,French Creek/NP,26.26467723,8.907596133,
