Genus,Location,AVG,SE
Plesiomonas,French Creek/H2O,0.002517095,0.001299822
Aeromonas,French Creek/H2O,0.108235097,0.055906217
Clostridium_sensu_stricto_1,French Creek/H2O,0.034400302,0.011137337
