Genus,Location,AVG,SE
Plesiomonas,Cranberry/H2O,0.020975794,0.005144845
Cetobacterium,Cranberry/H2O,0.01426354,0.006389875
Aeromonas,Cranberry/H2O,0.15270378,0.038060981
Clostridium_sensu_stricto_1,Cranberry/H2O,0.049502874,0.025084103
