Genus,Location,AVG,SE
Plesiomonas,Cranberry/H2O,0.020975794,0.005144845
Cetobacterium,Cranberry/H2O,0.01426354,0.006389875
Aeromonas,Cranberry/H2O,0.15270378,0.038060981
Clostridium_sensu_stricto_1,Cranberry/H2O,0.049502874,0.025084103
Plesiomonas,French Creek/H2O,0.002517095,0.001299822
Cetobacterium,French Creek/H2O,0,0
Aeromonas,French Creek/H2O,0.108235097,0.055906217
Clostridium_sensu_stricto_1,French Creek/H2O,0.034400302,0.011137337
