Genus,Location,AVG,SE
Plesiomonas,French Creek/NP,6.267753679,1.88171337
Aeromonas,French Creek/NP,9.530841409,5.690551489
Clostridium_sensu_stricto_1,French Creek/NP,26.26467723,8.907596133
