ASV,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
ASV11,704,465,717,795,703,1004,983,399,807,964,675,1055,1320,2049,1186,1099,1369,1785,886,1027,4805,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12,1274,1000,1781,2178,2402,1737,1821,912,1763,2493,1790,753,1272,1823,989,1226,1526,1921,868,913,4553,1895,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
ASV13,2406,610,1874,279,684,2549,2019,1047,1649,711,484,294,300,464,260,1467,1278,1562,304,1994,9251,3801,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
ASV14,16,12,4,24,8,2,11,16,0,6,12,0,20,0,8,2,0,5,4,0,6,5,976,38,343,82,64,11,435,236,2097,257,8738,0,0,0,21,112,508,9163,661,1123,551,243,2220,78
ASV15,1521,184,1443,795,915,1239,1580,516,2216,1343,1831,1147,1179,1657,1084,766,911,849,673,483,2225,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23314,0,0,0,0,0,0,0,0,0,0
ASV17,0,9,0,2,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2965,0,1278,30,248,439,119,419,71,0,132,0,0,98,214,6,16,25,14149,1394,0,159,572,0
ASV18,0,0,1,0,0,11,6,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195,7,0,1742,10,899,1731,0,3619,1360,0,0,104,4658,396,617,0,0,0,83,0,525
ASV19,683,52,195,114,95,494,549,180,354,249,338,215,173,202,120,234,365,256,471,211,846,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
ASV20,0,0,0,7,0,0,0,0,0,8,0,2,7,0,1,6,4,0,0,0,5,0,0,0,3658,2870,1640,986,100,118,172,0,0,1,0,0,636,330,8,0,6326,1737,0,0,0,33
ASV21,205,77,119,13,13,146,103,106,105,26,6,140,169,129,46,77,93,95,98,199,746,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9643,0,0,0,8635
ASV23,538,480,1935,495,871,471,433,530,1048,406,1081,701,840,831,627,537,851,760,997,426,1541,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV24,1233,534,2258,493,611,1546,1966,516,1224,468,614,386,275,683,394,253,325,435,401,222,1004,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,78,75,328,159,278,108,47,60,154,47,591,430,553,693,591,388,710,628,901,194,665,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV26,51,38,102,1123,1547,53,37,52,80,730,695,191,196,358,159,172,193,267,157,193,980,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV27,652,118,610,124,180,600,719,449,1156,265,290,282,510,420,296,617,1113,598,202,154,883,301,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
ASV28,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,21,8471,401,666,0,14,43,0,0,0,0,0,0,591,153,0,29,1879,143,0,1574,187,0
ASV29,2,3,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,433,1124,117,212,0,8,489,0,1599,0,0,0,5940,14,962,248,0,2315,0,0,0,0
ASV30,4,7,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,103,1020,4057,441,17,1038,101,336,382,0,3,0,0,0,0,405,68,343,0,4534,0,561,139,0
ASV31,359,65,108,204,197,302,272,91,123,249,178,139,163,222,86,227,289,344,229,196,774,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12941,0,0,0,0,0,0,0,0,0,0
ASV33,495,150,623,291,565,625,687,164,337,268,408,475,532,982,660,243,354,362,410,441,1739,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV34,111,167,701,411,376,154,223,272,530,316,385,161,296,271,142,548,1011,1135,651,324,1647,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV35,2107,28,55,572,513,556,603,17,52,204,208,385,532,715,284,213,303,368,408,237,1195,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV36,670,226,765,704,615,534,616,253,506,413,274,166,176,246,127,334,401,591,545,132,699,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV37,351,9,9,141,83,241,262,6,14,86,54,212,139,232,88,82,81,127,151,55,329,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV38,552,33,393,45,55,495,611,118,571,99,103,302,691,652,402,446,479,477,170,205,1245,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV39,720,67,293,236,265,760,1046,253,613,501,406,266,410,318,236,450,977,534,235,96,723,216,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ASV40,660,314,793,1145,1096,386,414,285,594,602,495,266,240,207,90,103,134,169,194,255,996,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,23,0,0,0,172,159,299,473,2527,293,275,0,0,2954,411,83,0,210,0,276,327,0,0
ASV42,213,79,256,549,726,157,240,100,159,315,298,380,327,670,278,359,432,661,294,140,754,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV43,0,10,0,8,0,0,0,0,5,11,6,0,40,4,0,0,0,0,0,0,0,4,460,0,0,7,44,105,172,81,462,0,3609,0,0,0,0,18,42,28,918,1244,317,0,1032,0
ASV44,182,4,12,234,459,82,111,4,13,117,132,224,270,387,174,269,357,438,797,270,1107,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8526,0,0,0,0
ASV46,0,0,0,0,0,0,0,0,0,0,0,823,1038,4358,1661,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV47,0,7,20,0,0,0,4,13,17,0,11,486,587,1008,614,406,566,584,600,356,1567,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV48,146,58,243,152,412,144,169,129,525,464,658,228,185,243,147,191,197,203,182,193,696,310,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0
ASV49,350,72,34,14,0,1360,276,132,47,36,0,148,207,204,150,250,398,369,104,186,567,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,605,171,591,927,813,335,311,222,460,527,466,22,25,35,12,69,96,115,103,94,360,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,55,35,52,0,25,366,359,443,551,0,720,578,0,0,2385,308,83,44,0,0,30,0,0,0
ASV52,311,88,464,148,113,397,419,151,461,166,117,211,231,265,142,250,244,281,134,143,667,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0
ASV54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5633,0,0,0,0,0,0,0,0,0,0
ASV55,666,91,153,227,148,538,558,78,175,160,107,113,137,241,138,270,319,487,383,30,174,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5306,0,0,0,0,0,0,0,0,0,0
ASV57,0,8,0,5,0,0,4,0,4,12,1,0,41,0,0,3,3,0,0,0,4,0,20,0,0,32,30,0,160,5,449,0,1334,0,1,0,0,20,42,19,181,381,215,130,1841,0
ASV58,85,24,137,0,0,92,136,75,190,0,0,144,101,72,58,218,418,215,205,26,159,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV59,0,0,0,0,0,0,0,0,0,0,0,130,139,194,98,216,276,287,224,338,1277,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV60,184,21,76,27,50,168,159,47,177,62,75,108,74,91,46,75,72,74,62,38,139,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV61,314,187,526,107,126,340,446,182,404,109,122,38,41,63,50,124,134,168,125,116,543,196,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV62,368,39,184,191,245,269,291,89,113,108,98,60,62,66,27,33,33,43,50,232,1124,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV63,429,48,156,100,66,354,474,59,130,71,34,81,137,106,63,279,267,364,296,126,493,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV64,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,63,335,0,36,0,0,0,0,20,0,0,0,21,0,11,38,0,3861,0,0,24,0
ASV65,281,27,190,50,75,261,248,150,253,100,47,134,170,143,89,419,601,230,165,63,361,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV66,208,32,66,66,25,179,221,68,173,105,142,68,37,38,28,79,136,82,139,41,178,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV67,127,0,2,103,174,73,84,0,5,76,89,227,195,250,105,121,172,171,282,140,541,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV68,0,4,0,0,0,0,1,0,4,56,10,22,34,9,6,24,26,24,204,84,169,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3712,0,0,0,449,0,0
ASV70,0,0,0,0,0,0,0,0,0,4,0,0,11,1,0,0,0,0,0,0,0,0,0,618,796,32,64,1593,0,0,60,0,0,0,0,0,0,0,0,61,0,204,0,0,724,0
ASV71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,47,78,3,192,11,15,5,64,0,0,1661,74,0,248,50,138,0,255,57,3
ASV72,0,133,704,126,131,0,0,268,539,203,163,0,0,16,12,141,346,309,101,45,292,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV73,32,29,82,443,510,39,14,23,33,290,297,72,66,98,48,34,41,48,19,23,128,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,43,0,0,2,0,0,0,872,0,0,0,387,57,26,0,0,0
ASV75,28,7,22,64,35,30,24,6,17,68,39,171,237,345,170,192,282,243,209,28,96,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV76,14,0,0,215,193,13,15,0,5,96,75,55,78,71,32,96,121,135,309,184,765,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV77,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,694,0,0,0,1621,0,439,29,0,139,0,0,0,0
ASV78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,453,624,101,62,0,229,0,0,121,0,0,42,73,651,18,0,142,0,0,213,0,0
ASV79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,18,21,0,7,281,0,40,0,0,0,1048,245,29,97,68,1080,0,0,0,0
ASV80,129,11,25,16,17,100,123,31,54,69,58,22,22,23,25,30,63,38,71,27,93,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV81,27,50,72,62,40,12,16,30,77,64,41,36,17,26,19,22,34,40,36,26,144,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,436,0,0,0,0,677,0,0,0
ASV83,734,13,27,372,415,160,219,16,14,390,265,3,0,4,0,0,0,3,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV84,53,0,20,0,0,14,27,7,35,0,8,32,16,13,5,8,15,8,14,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV85,35,5,23,11,10,18,13,13,9,18,11,26,25,47,25,40,47,64,41,52,207,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV86,31,31,36,21,22,43,40,45,68,31,14,17,30,57,36,165,184,278,111,149,609,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV87,105,23,147,45,46,72,121,15,57,27,32,44,46,72,45,77,133,154,85,129,478,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,7,63,0,115,0,0,0,0,0,0,0,15,0,570,0,190,0,529,96,0
ASV89,10,22,87,59,58,16,15,41,56,75,78,0,8,15,8,11,34,37,9,123,720,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV90,36,24,40,132,223,42,48,20,62,182,141,116,139,162,67,31,51,44,29,36,192,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV91,0,46,0,11,0,2,0,10,0,30,1,33,14,5,2,0,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV92,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,324,12,0,986,0,11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,511,0
ASV93,100,81,152,64,127,133,166,83,167,98,68,17,12,48,17,77,72,115,43,37,184,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,746,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV95,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,117,213,8,34,28,67,220,0,37,0,0,0,0,19,17,267,0,0,0,240,0,0
ASV96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,332,817,47,38,220,0,101,66,0,0,0,0,0,0,0,8,106,0,65,0,53,219,0
ASV97,0,0,0,0,0,1,0,0,0,0,0,206,302,1135,428,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV98,0,45,0,10,5,0,0,4,10,21,5,124,224,0,9,0,5,5,24,48,49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067
ASV100,0,24,0,6,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,1292,266,0,380,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,39,0
ASV101,0,0,0,119,126,0,0,0,0,59,67,90,82,74,41,6,19,16,21,205,859,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV102,0,0,4,5,11,0,0,0,10,0,2,116,143,235,94,209,419,370,203,5,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV103,69,6,16,4,0,46,51,10,18,0,12,14,11,4,6,13,15,7,11,5,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV104,0,10,2,11,0,0,1,0,1,14,0,0,10,0,0,0,2,0,0,0,3,0,0,90,262,698,126,310,0,0,0,0,0,0,0,17,0,0,5,0,0,174,0,0,226,0
ASV105,42,26,93,43,183,29,28,37,78,52,59,35,28,25,17,47,65,71,42,61,233,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,2,0,68,0,0,0,0,0,0,0,0,0,49,0,0,0,1696,0,0
ASV107,5,0,0,0,0,6,6,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV109,0,33,70,2,11,0,0,149,118,11,7,0,0,0,2,81,103,82,21,59,643,200,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
ASV110,111,0,60,94,163,107,139,54,135,265,218,58,15,20,14,13,7,13,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV111,362,31,40,13,22,388,431,21,51,55,18,13,3,3,2,46,49,63,32,5,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV112,92,79,127,93,81,129,150,108,128,135,54,12,11,39,15,42,75,71,51,30,123,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV113,0,11,1,20,92,8,6,8,6,40,4,150,148,202,65,0,3,0,1,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV115,47,0,23,36,46,25,39,0,50,39,67,150,123,205,122,40,54,49,47,19,122,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,10,13,20,16,0,9,11,9,12,0,0,19,24,38,20,19,28,35,21,6,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV117,182,59,302,21,5,164,179,94,240,26,26,3,6,6,8,55,65,95,39,12,83,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV118,53,16,21,1,9,37,52,13,42,13,11,12,31,25,11,34,72,37,17,8,55,20,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0
ASV119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,587,165,30,92,0,0,0,0,29,28,193,0,0,0,0,77,0,0
ASV120,362,59,198,17,27,378,316,46,123,10,11,0,0,0,0,8,4,6,7,6,38,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
