Genus,Location,Average,SD,SE
Brevinema,Cranberry/H2O,0,0,0
Aeromonas,Cranberry/H2O,0.001527038,0.00126234,0.00038061
Plesiomonas,Cranberry/H2O,0.000209758,0.000170635,5.14E-05
Pseudarcicella,Cranberry/H2O,0.199899316,0.102003915,0.030755338
Cetobacterium,Cranberry/H2O,0.000142635,0.000211928,6.39E-05
hgcI_clade,Cranberry/H2O,0.121374334,0.020101957,0.006060968
Limnohabitans,Cranberry/H2O,0.132600579,0.054025636,0.016289342
Clostridium_sensu_stricto_1,Cranberry/H2O,0.000495029,0.000831946,0.000250841
Fluviicola,Cranberry/H2O,0.090640601,0.018428654,0.005556448
Flavobacterium,Cranberry/H2O,0.108360951,0.057006628,0.017188145
Brevinema,French Creek H2O,0,0,0
Aeromonas,French Creek H2O,0.001082351,0.00176791,0.000533045
Plesiomonas,French Creek H2O,2.52E-05,4.11E-05,1.24E-05
Pseudarcicella,French Creek H2O,0.145454545,0.034498423,0.010401666
Cetobacterium,French Creek H2O,0,0,0
hgcI_clade,French Creek H2O,0.13843185,0.032170977,0.009699914
Limnohabitans,French Creek H2O,0.109971892,0.011051587,0.003332179
Clostridium_sensu_stricto_1,French Creek H2O,0.000344003,0.000352194,0.00010619
Fluviicola,French Creek H2O,0.082065696,0.029036611,0.008754868
Flavobacterium,French Creek H2O,0.127943953,0.015921538,0.004800524
Brevinema,Cranberry/NP,0,0,0
Aeromonas,Cranberry/NP,0.146069835,0.225067643,0.058112215
Plesiomonas,Cranberry/NP,0.235674512,0.188537209,0.048680098
Pseudarcicella,Cranberry/NP,0,0,0
Cetobacterium,Cranberry/NP,0.408312567,0.314240232,0.081136479
hgcI_clade,Cranberry/NP,0.000535302,0.002073217,0.000535302
Limnohabitans,Cranberry/NP,0.001452084,0.005623898,0.001452084
Clostridium_sensu_stricto_1,Cranberry/NP,0.058760191,0.085304017,0.022025403
Fluviicola,Cranberry/NP,0,0,0
Flavobacterium,Cranberry/NP,0,0,0
Brevinema,French Creek/NP,0.222376045,0.362082155,0.120694052
Aeromonas,French Creek/NP,0.095308414,0.170716545,0.056905515
Plesiomonas,French Creek/NP,0.062677537,0.056451401,0.018817134
Pseudarcicella,French Creek/NP,0,0,0
Cetobacterium,French Creek/NP,0.003978875,0.006957675,0.002319225
hgcI_clade,French Creek/NP,0,0,0
Limnohabitans,French Creek/NP,1.03E-05,3.08E-05,1.03E-05
Clostridium_sensu_stricto_1,French Creek/NP,0.262646772,0.267227884,0.089075961
Fluviicola,French Creek/NP,0,0,0
Flavobacterium,French Creek/NP,0,0,0
