Pairwise_Comparison,Distance,SE
CranH2O vs. CranNP,0.640843682,0.003206475
CranH2O vs. FrenchNP,0.779942988,0.007747758
FrenchH2O vs. FrenchNP,0.756555752,0.008633381
FrenchH2O vs. CranNP,0.639092788,0.002976969
