Pairwise_Comparison,Distance,SE
CranH2O vs. CranPike,0.817185427,0.0038038
CranH2O vs. FrenchPike,0.803064934,0.005708406
FrenchH2O vs. FrenchPike,0.785291523,0.005807504
FrenchH2O vs. CranPike,0.823044581,0.003745346
CranH2O vs. FrenchH2O,0.371591939,0.00394644
CranPike vs. FrenchPike,0.582882029,0.008326124
