Pairwise_Comparison,Distance,SE
CranH2O vs. CranPike,0.748234765,0.005046783
CranH2O vs. FrenchPike,0.761004474,0.007437311
FrenchH2O vs. FrenchPike,0.76389456,0.006906094
FrenchH2O vs. CranPike,0.759885874,0.005423202
CranH2O vs. FrenchH2O,0.215590173,0.005330145
CranPike vs. FrenchPike,0.693095269,0.013216137
