,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
H2O-051-505-719-1F_filt.fastq.gz,0.297849722,0.306972792,0.21090501,0.224397318,0.215730173,0.312006406,0.332844943,0.287653461,0.260750358,0.246530477,0,0.276530101,0.310266079,0.347115497,0.279416929,0.299886047,0.28563564,0.309567174,0.196971827,0.312593133,0.32839518,0.344023199,0.842596322,0.827942228,0.644411917,0.656228962,0.861862825,0.689223766,0.784342498,0.711358865,0.7199748,0.779804514,0.78229845,0.738784682,0.763340163,0.907497478,0.795520432,0.711454771,0.768215573,0.818194367,0.764274287,0.76942869,0.758533311,0.684736382,0.787283505,0.856044737
H2O-052-506-719-1F_filt.fastq.gz,0.185547859,0.230715956,0.226718519,0.275537582,0.287090311,0.211628141,0.2372034,0.15104527,0.188768578,0.127385702,0.276530101,0,0.069189522,0.214223958,0.181437037,0.160110528,0.158704536,0.177528727,0.16002129,0.146402821,0.189407485,0.206292221,0.780528016,0.814119889,0.626577825,0.668914843,0.848391257,0.633211389,0.805194966,0.682408937,0.695031158,0.764632676,0.773137363,0.762074387,0.792282459,0.916870754,0.73424233,0.717541097,0.78755875,0.797610808,0.788500833,0.692719711,0.77846229,0.671249222,0.7632941,0.800714572
H2O-053-507-719-1F_filt.fastq.gz,0.199832028,0.226811863,0.235441008,0.275160396,0.289181699,0.212862954,0.239333346,0.167836938,0.211982906,0.146249274,0.310266079,0.069189522,0,0.208425789,0.201504322,0.149856521,0.149793806,0.163349814,0.189099715,0.144039662,0.178865132,0.195164726,0.774359948,0.809583278,0.618876836,0.66258072,0.843132388,0.631281685,0.797620559,0.674916887,0.684723787,0.755876794,0.761904472,0.75760592,0.792410761,0.913297536,0.728618031,0.711689999,0.779118094,0.784694353,0.779203621,0.681078991,0.76843915,0.6625933,0.753714798,0.800498893
H2O-054-508-719-1F_filt.fastq.gz,0.234888008,0.328045022,0.294641319,0.341120944,0.37178484,0.197531005,0.212652684,0.24343959,0.244354414,0.245119398,0.347115497,0.214223958,0.208425789,0,0.088661939,0.190527499,0.213106361,0.206472904,0.257334318,0.190472048,0.180347307,0.206399923,0.750925386,0.851730112,0.701791703,0.733467602,0.882025448,0.660730598,0.862891092,0.739300449,0.756258551,0.803239632,0.834238095,0.822710141,0.844800434,0.943395457,0.711506563,0.769047425,0.846922004,0.864021739,0.853643173,0.682944289,0.835905441,0.735094786,0.835423072,0.759962473
H2O-055-510-719-1F_filt.fastq.gz,0.23313832,0.263393127,0.223916643,0.297175484,0.328543217,0.171378603,0.18714313,0.20255108,0.184479782,0.204107082,0.279416929,0.181437037,0.201504322,0.088661939,0,0.180530819,0.20174781,0.206349581,0.203144901,0.191269417,0.187921712,0.216425175,0.762625657,0.849288613,0.681014123,0.712351775,0.880731833,0.651884621,0.846715444,0.725170477,0.741073802,0.794876606,0.817301386,0.807588552,0.831646424,0.934240731,0.718339371,0.75512848,0.830051881,0.847501544,0.832396587,0.688397122,0.820263145,0.720251768,0.81580116,0.774650048
H2O-056-511-720-1F_filt.fastq.gz,0.145750144,0.233154483,0.216103599,0.278840415,0.308768736,0.128857614,0.149470464,0.115695062,0.148078991,0.149279965,0.299886047,0.160110528,0.149856521,0.190527499,0.180530819,0,0.059825889,0.077172218,0.158269846,0.099370245,0.09643107,0.116536352,0.781176844,0.81530137,0.644074461,0.669940621,0.857247421,0.635778932,0.810080522,0.68514596,0.695892881,0.771321516,0.772977228,0.76793908,0.793014491,0.911164815,0.718749983,0.716133387,0.79040427,0.803098056,0.797962558,0.684314551,0.779871689,0.672958533,0.777567511,0.792567906
H2O-057-513-720-1F_filt.fastq.gz,0.163836514,0.216844146,0.196563242,0.244966425,0.279568209,0.163962511,0.181633778,0.1183751,0.155458586,0.14034044,0.28563564,0.158704536,0.149793806,0.213106361,0.20174781,0.059825889,0,0.080562951,0.13417391,0.114414113,0.128661018,0.149378518,0.798274401,0.80998484,0.633362513,0.647554611,0.851550253,0.641788226,0.798864278,0.686804264,0.682387609,0.759154876,0.756973395,0.756376183,0.781985088,0.895681522,0.727273506,0.705394594,0.779219445,0.788204527,0.787229386,0.695862219,0.76385654,0.661929255,0.763122317,0.810948928
H2O-058-515-720-1F_filt.fastq.gz,0.160357901,0.208781137,0.178324375,0.222695344,0.273598247,0.166130198,0.191528638,0.139187363,0.183686902,0.149591248,0.309567174,0.177528727,0.163349814,0.206472904,0.206349581,0.077172218,0.080562951,0,0.147826057,0.098870378,0.077754743,0.088359955,0.795402269,0.814983035,0.64408992,0.676416883,0.848317096,0.645678589,0.790607705,0.676496897,0.681593738,0.770950458,0.756950654,0.750408711,0.773148764,0.912415689,0.737494088,0.698517223,0.771882797,0.79042719,0.789909602,0.713588461,0.763966631,0.656443505,0.777742337,0.807221827
H2O-059-516-720-1F_filt.fastq.gz,0.175786126,0.189038932,0.128543484,0.170202346,0.202768802,0.217156492,0.238316373,0.160209556,0.17988962,0.134218328,0.196971827,0.16002129,0.189099715,0.257334318,0.203144901,0.158269846,0.13417391,0.147826057,0,0.158675798,0.174744297,0.194775854,0.811669961,0.817295263,0.623849181,0.650721468,0.847293648,0.64459403,0.778984296,0.683731082,0.679831043,0.768253648,0.757517918,0.733201171,0.766925115,0.911408714,0.762661436,0.692616348,0.763980265,0.791347729,0.775106624,0.725950199,0.755149948,0.656881801,0.770047791,0.826877783
H2O-060-517-720-1F_filt.fastq.gz,0.178337391,0.195272398,0.206886017,0.241902253,0.271293839,0.165600714,0.196534086,0.138770751,0.186090389,0.134104313,0.312593133,0.146402821,0.144039662,0.190472048,0.191269417,0.099370245,0.114414113,0.098870378,0.158675798,0,0.06931197,0.082521789,0.778923409,0.817731672,0.652863897,0.695638843,0.850175612,0.629792834,0.808668539,0.683818915,0.701962674,0.779969299,0.781204389,0.76162942,0.787275395,0.929306103,0.734846858,0.715669458,0.794962352,0.80585362,0.806882458,0.702132678,0.784348539,0.670374309,0.7824052,0.788755078
