,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
NP-004-506-714-1F_filt.fastq.gz,0.715631139,0.699045527,0.724719857,0.733479183,0.735219749,0.717687367,0.716845551,0.71672273,0.727321841,0.714240496,0.764367413,0.670609635,0.657996076,0.601222905,0.64635152,0.723897282,0.725450284,0.726212033,0.731065318,0.714468883,0.7211345,0.720536482,0.753864997,0.63645564,0.228795882,0,0.544735424,0.324736683,0.744562298,0.602684557,0.66070918,0.71910626,0.672885772,0.6960088,0.786896331,0.824334809,0.463792901,0.650065142,0.711342712,0.759108542,0.380485783,0.46502791,0.73195562,0.497707743,0.494244553,0.926977491
NP-007-510-714-1F_filt.fastq.gz,0.84534549,0.82575608,0.844880108,0.843249387,0.842216517,0.844571153,0.846125324,0.835032532,0.844657694,0.826667271,0.857492365,0.788009644,0.77868321,0.711505951,0.746981572,0.845406778,0.842672774,0.848844858,0.843119267,0.836982361,0.846838326,0.844717713,0.782423902,0.765337645,0.474628426,0.544735424,0,0.565681101,0.818873538,0.725073809,0.803617993,0.847590022,0.81345115,0.799184088,0.854906756,0.876827863,0.682508783,0.764566474,0.833625999,0.781845031,0.46029357,0.62257699,0.845800849,0.624139017,0.575437912,0.908247874
NP-008-511-714-1F_filt.fastq.gz,0.718541605,0.691147353,0.730631338,0.722686893,0.722634565,0.725425637,0.72537477,0.715965389,0.72838329,0.699975757,0.753562599,0.658259094,0.646638143,0.592452925,0.640766847,0.722876168,0.721865713,0.727539268,0.725455592,0.710449039,0.72109423,0.719610852,0.660705474,0.641040155,0.293176394,0.324736683,0.565681101,0,0.664053105,0.408461574,0.474024686,0.529684871,0.561564012,0.58885445,0.748703758,0.80647887,0.418804218,0.450140729,0.615367104,0.683927663,0.473944391,0.396039198,0.592700252,0.247613382,0.423770689,0.905302486
NP-009-513-714-1F_filt.fastq.gz,0.636727287,0.610721169,0.612341281,0.599479262,0.608191098,0.641519991,0.645795048,0.629571734,0.637419792,0.624405758,0.609864517,0.633791663,0.630116746,0.662692418,0.645196596,0.635937101,0.637334635,0.623982987,0.615927422,0.629515827,0.626173371,0.628102083,0.71854231,0.60100692,0.7389863,0.744562298,0.818873538,0.664053105,0,0.368510504,0.342210282,0.624393755,0.425772988,0.113474333,0.110781386,0.592707931,0.643932523,0.280298877,0.088947136,0.557498672,0.766183375,0.682959215,0.179993685,0.453758956,0.727171328,0.896103702
NP-010-515-714-1F_filt.fastq.gz,0.644041945,0.611605732,0.626427341,0.606961443,0.613438483,0.655874055,0.660017408,0.641717097,0.659076854,0.626800173,0.649211171,0.60520421,0.595949214,0.607588825,0.596555267,0.64568523,0.648482982,0.634402517,0.630131699,0.631504814,0.630656382,0.631148362,0.62775603,0.566156864,0.625716531,0.602684557,0.725073809,0.408461574,0.368510504,0,0.113779313,0.418498068,0.409932738,0.31658487,0.460065292,0.69024478,0.302184142,0.101373525,0.351083069,0.581837995,0.694478527,0.505468126,0.297847824,0.189832259,0.64850422,0.901954951
NP-011-516-715-1F_filt.fastq.gz,0.589633056,0.576061018,0.581621146,0.577610452,0.583917164,0.600671071,0.602988468,0.5883991,0.603098065,0.580890317,0.60375136,0.579949701,0.575332812,0.61401122,0.601054969,0.590570131,0.588733421,0.582295011,0.580924439,0.58670989,0.584113452,0.58765344,0.661969584,0.589217615,0.688744014,0.66070918,0.803617993,0.474024686,0.342210282,0.113779313,0,0.330694582,0.300504094,0.315577352,0.450421589,0.685847829,0.376619994,0.135009708,0.319680176,0.505450689,0.731019977,0.524152388,0.216797824,0.26614162,0.661383542,0.902132183
NP-014-520-715-1F_filt.fastq.gz,0.629953889,0.685835265,0.689922951,0.695261663,0.700863977,0.636576897,0.626457746,0.648324829,0.62816732,0.658372088,0.685610682,0.657082285,0.650609799,0.686509045,0.68038557,0.641857751,0.634162712,0.665262662,0.673993053,0.673357263,0.672327941,0.676453602,0.696836607,0.705835874,0.73556234,0.71910626,0.847590022,0.529684871,0.624393755,0.418498068,0.330694582,0,0.259580757,0.603063096,0.715023998,0.786437993,0.504697682,0.420448332,0.596417064,0.3229012,0.755627904,0.575593227,0.447454784,0.471087578,0.431873297,0.905445929
NP-015-521-715-1F_filt.fastq.gz,0.575027237,0.606216234,0.625508305,0.635204171,0.640475642,0.577406968,0.57034541,0.580949004,0.560978992,0.586244521,0.619113344,0.585446508,0.585715052,0.628003382,0.614042161,0.582732365,0.571711173,0.60320141,0.605959199,0.608747388,0.615132296,0.617346084,0.665243587,0.652073448,0.696787501,0.672885772,0.81345115,0.561564012,0.425772988,0.409932738,0.300504094,0.259580757,0,0.406081495,0.53486588,0.732494788,0.579561426,0.411039022,0.373237827,0.263494519,0.735772299,0.517594449,0.293766737,0.412844579,0.451293414,0.897212689
NP-017-502-715-1F_filt.fastq.gz,0.640696032,0.610386251,0.616465413,0.601509668,0.603422772,0.647511721,0.650744418,0.635914114,0.64623019,0.622418813,0.619339403,0.62398625,0.62132382,0.653073814,0.638473588,0.638237751,0.64040583,0.627910983,0.619558221,0.622921699,0.625245444,0.623273763,0.662078258,0.589231804,0.694301094,0.6960088,0.799184088,0.58885445,0.113474333,0.31658487,0.315577352,0.603063096,0.406081495,0,0.199380913,0.617643122,0.584939693,0.228738791,0.102413837,0.568497555,0.753746916,0.620710017,0.166043571,0.396669581,0.715728003,0.883210815
NP-018-503-715-1F_filt.fastq.gz,0.62772649,0.612298786,0.602028884,0.591913272,0.597015528,0.634480058,0.638227608,0.622844174,0.628988421,0.623339857,0.59402492,0.641978008,0.647906343,0.66586913,0.649849004,0.628364844,0.630064112,0.613925282,0.609601596,0.620734087,0.612608431,0.614129761,0.850915561,0.668439644,0.825623364,0.786896331,0.854906756,0.748703758,0.110781386,0.460065292,0.450421589,0.715023998,0.53486588,0.199380913,0,0.574504497,0.721613298,0.367011486,0.154631472,0.625838688,0.861029438,0.804513276,0.264230046,0.541853423,0.814803522,0.900115978
NP-019-505-715-1F_filt.fastq.gz,0.694268465,0.684921333,0.670697128,0.653264346,0.660198989,0.70064731,0.704890337,0.693677417,0.697866841,0.69100838,0.648850986,0.713916272,0.721245556,0.73232607,0.714366034,0.699976314,0.699110087,0.686220234,0.669685566,0.692492969,0.686816462,0.687298987,0.894747715,0.711311335,0.86298798,0.824334809,0.876827863,0.80647887,0.592707931,0.69024478,0.685847829,0.786437993,0.732494788,0.617643122,0.574504497,0,0.755184456,0.656588825,0.597238876,0.783329247,0.888062371,0.846558689,0.636826723,0.736720102,0.857827653,0.927397148
