Group,Distance
CW_CF,0.680302713
CW_CF,0.785939296
CW_CF,0.75667842
CW_CF,0.759891259
CW_CF,0.805514204
CW_CF,0.74751028
CW_CF,0.884549073
CW_CF,0.793332833
CW_CF,0.864274278
CW_CF,0.823500869
CW_CF,0.779151131
CW_CF,0.807726779
CW_CF,0.788343513
CW_CF,0.856555298
CW_CF,0.77335959
CW_CF,0.695556497
CW_CF,0.833101166
CW_CF,0.80290787
CW_CF,0.796846828
CW_CF,0.835583767
CW_CF,0.805478819
CW_CF,0.91045467
CW_CF,0.851616584
CW_CF,0.896481224
CW_CF,0.835989298
CW_CF,0.807080945
CW_CF,0.845748493
CW_CF,0.821021337
CW_CF,0.886502514
CW_CF,0.810192784
CW_CF,0.714097613
CW_CF,0.812253871
CW_CF,0.793814057
CW_CF,0.751086096
CW_CF,0.789706335
CW_CF,0.785545452
CW_CF,0.890757631
CW_CF,0.816344274
CW_CF,0.876347374
CW_CF,0.833560623
CW_CF,0.814555048
CW_CF,0.831424731
CW_CF,0.82384391
CW_CF,0.858511121
CW_CF,0.811640754
CW_CF,0.718505857
CW_CF,0.834997102
CW_CF,0.810717738
CW_CF,0.78961578
CW_CF,0.829452917
CW_CF,0.797165298
CW_CF,0.898455007
CW_CF,0.84775826
CW_CF,0.892353979
CW_CF,0.84259126
CW_CF,0.824370292
CW_CF,0.8453824
CW_CF,0.845658299
CW_CF,0.88352807
CW_CF,0.834841168
CW_CF,0.697948909
CW_CF,0.831554325
CW_CF,0.790876246
CW_CF,0.797443281
CW_CF,0.829234249
CW_CF,0.803546217
CW_CF,0.901658001
CW_CF,0.836781835
CW_CF,0.895924819
CW_CF,0.840280189
CW_CF,0.808901628
CW_CF,0.850025593
CW_CF,0.83341381
CW_CF,0.877494228
CW_CF,0.821565558
CW_CF,0.696898669
CW_CF,0.800078593
CW_CF,0.783017751
CW_CF,0.788855518
CW_CF,0.811956459
CW_CF,0.764759743
CW_CF,0.880648934
CW_CF,0.81472552
CW_CF,0.87167038
CW_CF,0.826178598
CW_CF,0.784840634
CW_CF,0.811050571
CW_CF,0.791134796
CW_CF,0.852935462
CW_CF,0.765604346
CW_CF,0.670310076
CW_CF,0.795424108
CW_CF,0.771657284
